Product|brand_indication|segment|speciality|affinity_segment|affinity_type|Dimension_type|Dimension_Value|Min_Allowed|Max_Allowed|Active
US_304486|US_304486|Low|SPEC|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|SPEC|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|PCP|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|PCP|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|PCP|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|PCP|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|PCP|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|PCP|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|BOTH|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|BOTH|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|BOTH|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|BOTH|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|BOTH|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|BOTH|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Non-Targets|PCP|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Non-Targets|PCP|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Non-Targets|PCP|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Non-Targets|PCP|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
